test,predict
3.546444444,3.6849709
3.666222222,3.752233
3.271777778,3.6265914
3.419888889,3.7797723
3.2675555560000005,3.6771173
3.297333333,3.3697531
3.220222222,3.6774628
3.066444444,3.341679
3.261555556,3.1955962
3.442888889,3.1800716
3.465555556,3.7991967
3.334333333,3.5719895
3.401333333,3.1076288
3.192333333,3.0927355
3.067,3.0479174
2.997222222,3.1396077
2.784222222,3.086834
2.89,3.2200787
2.818777778,3.1520538
2.868555556,3.0214434
2.731222222,3.2129426
2.762777778,3.496199
2.698666667,3.3041372
