test,predict
3.734555556,3.2882667
3.671111111,3.407495
3.699111111,3.4200647
3.3363333330000002,3.5544255
3.146777778,3.1794105
3.118444444,3.2273734
3.182444444,3.198502
3.117555556,3.0656207
3.013111111,3.0444546
2.955,3.1956973
3.040888889,3.272636
2.963111111,3.3485346
3.143555556,3.2904701
3.1022222219999995,3.2437537
3.076444444,3.2049057
3.000555556,3.264408
2.923888889,3.138169
3.022666667,3.4408138
3.02,3.316202
3.118222222,3.1819253
3.019666667,3.0634356
3.158,3.053889
3.036444444,2.8621454
