kf, avg-mse, std-mse, avg-mae, std-mae, avg-mape, std-mape, avg-r2, std-r2
1,0.12670877542866898,0.03082126319802961,0.28975783072301925,0.040203405987861256,0.08814807804267719,0.013703512025691858,0.2019953231607979,0.19411056649320804
2,0.18525081649957742,0.046030528070576456,0.30747060665448894,0.02358673946206814,0.10374894492846853,0.008227847140087207,-1.360478850235954,0.5865242055547755
3,0.10374212528761154,0.008254158897359804,0.26466446537772575,0.012923649155792425,0.07920650193846895,0.0037849497200777003,-1.1838603971634267,0.17375709893993074
4,0.10846990978125963,0.016796850767650615,0.27402638111584465,0.03473993306056202,0.08371486270789362,0.011023882330299908,0.13852867164196817,0.1334011005653071
5,0.044354187878197594,0.01056931675750793,0.1679947346413521,0.015888353491305955,0.05363374857445132,0.0047056283314155,0.1502299197549852,0.20249472662709636
6,0.09023829585231931,0.01602960310297856,0.2455004887916111,0.01230378237723086,0.07223979597418512,0.003752147108808928,0.28013859109615274,0.12787356592775295
7,0.1745499899066409,0.014959765071337752,0.30831265226269106,0.03617887943354222,0.08902573558172557,0.012953172518060536,-0.303034010357098,0.11167621771465727
8,0.08606422735932762,0.011288448558702298,0.2332693175725969,0.014495341028617308,0.06947366361772431,0.004975490792426619,-0.05646777157023737,0.13856955972550136
