test,predict
3.734555556,3.7791824
3.671111111,3.7935154
3.699111111,3.742483
3.3363333330000002,3.7434323
3.146777778,3.3346858
3.118444444,3.253172
3.182444444,3.0984323
3.117555556,2.9174669
3.013111111,3.0851653
2.955,3.301338
3.040888889,3.1979094
2.963111111,3.4154603
3.143555556,3.3257105
3.1022222219999995,3.2077782
3.076444444,3.2448115
3.000555556,3.2158158
2.923888889,3.1171465
3.022666667,3.3029778
3.02,3.0856063
3.118222222,3.2383432
3.019666667,3.1219213
3.158,3.0004137
3.036444444,2.906245
