test,predict
3.546444444,3.7255588
3.666222222,3.5846405
3.271777778,3.5821774
3.419888889,3.7324212
3.2675555560000005,3.7577527
3.297333333,3.6407368
3.220222222,3.6665215
3.066444444,3.2090743
3.261555556,3.0352485
3.442888889,3.3155062
3.465555556,3.744182
3.334333333,3.755486
3.401333333,3.1930103
3.192333333,3.1400177
3.067,3.0093982
2.997222222,2.9462
2.784222222,2.8945434
2.89,2.9331052
2.818777778,3.0999918
2.868555556,3.0233293
2.731222222,3.9075627
2.762777778,3.9830577
2.698666667,3.879271
