test,predict
3.6432222219999995,3.4713993
3.383777778,3.3635628
3.339777778,3.4190652
4.044,3.414488
3.680888889,3.3084629
3.424777778,3.2643027
3.466111111,3.3353906
3.470333333,3.2641
3.522222222,3.2544348
3.398666667,3.3465822
3.265777778,3.3473773
3.177222222,3.1767552
3.268555556,3.119938
3.263222222,3.134868
3.061888889,3.2168643
3.212666667,3.5979207
3.219111111,3.5835674
3.1401111110000004,3.4948146
3.081222222,3.208891
3.1951111110000006,2.876369
3.164777778,2.7354968
3.287888889,2.7439508
3.361111111,2.7610204
